USD/XOF	605,750	612,750	612,500	609,250	+0,250	+0,04%	18:56:26
USD/XPF	109,470	110,460	110,075	109,965	+0,385	+0,35%	20:24:30
USD/YER	249,950	250,450	250,200	250,085	+0,280	+0,11%	18:56:22
USD/ZMK	20,88	20,93	21,05	20,83	+0,10	+0,49%	18:00:04
AED/USD	0,2722	0,2723	0,2723	0,2723	0,0000	0,01%	20:05:53
ARS/USD	0,00487	0,00487	0,00488	0,00487	-0,00001	-0,19%	18:00:04
CNY/USD	0,1453	0,1454	0,1454	0,1451	0,0001	0,06%	20:02:02
DKK/USD	0,1459	0,1459	0,1465	0,1445	+0,0013	+0,92%	20:25:04
HKD/USD	0,1274	0,1274	0,1275	0,1274	-0,0000	-0,03%	20:25:05
ILS/USD	0,2758	0,2761	0,2765	0,2731	+0,0024	+0,89%	20:16:05
MXN/USD	0,05370	0,05373	0,05439	0,05358	-0,00001	-0,02%	20:26:06
NOK/USD	0,0957	0,0958	0,0966	0,0946	+0,0009	+0,98%	20:25:08
PLN/USD	0,2319	0,2320	0,2330	0,2293	+0,0022	+0,95%	20:25:10
RUB/USD	0,01298	0,01298	0,01304	0,01297	-0,00007	-0,52%	20:00:11
SAR/USD	0,2659	0,2665	0,2663	0,2660	0,0000	0,01%	20:08:08
SEK/USD	0,0970	0,0971	0,0979	0,0964	+0,0004	+0,43%	20:25:11
TRY/USD	0,0524	0,0526	0,0527	0,0523	-0,0000	-0,06%	20:25:12
TWD/USD	0,03287	0,03300	0,03316	0,03275	+0,00015	+0,45%	19:56:11
VES/USD	0,04132	0,04142	0,04130	0,04130	-0,00000	-0,00%	19:54:12
ZAR/USD	0,05484	0,05490	0,05508	0,05384	+0,00100	+1,85%	20:25:14
UYU/USD	0,02565	0,02567	0,02566	0,02547	+0,00019	+0,74%	18:37:13
PYG/USD	0,000139	0,000139	0,000140	0,000139	-0,000000	-0,22%	20:01:11
CLP/USD	0,001233	0,001234	0,001238	0,001215	+0,000018	+1,48%	19:15:15
COP/USD	0,000209	0,000210	0,000210	0,000208	+0,000002	+0,85%	19:01:14
PEN/USD	0,2639	0,2664	0,2656	0,2644	+0,0003	+0,13%	20:02:12
NIO/USD	0,02703	0,02766	0,02734	0,02724	0,00000	0,00%	19:00:16
BOB/USD	0,1429	0,1460	0,1442	0,1442	-0,0004	-0,28%	20:01:11
KRW/USD	0,000770	0,000771	0,000778	0,000763	+0,000003	+0,45%	20:25:14
EGP/USD	0,03231	0,03241	0,03247	0,03231	0,00000	0,00%	20:11:12
USD/BYN	2,5181	2,5311	2,5246	2,5241	+0,0065	+0,26%	18:56:35
USD/MZN	63,23	64,43	64,08	63,35	+0,61	+0,96%	18:56:33
INR/USD	0,01212	0,01212	0,01214	0,01206	+0,00002	+0,18%	20:25:15
JOD/USD	1,4085	1,4110	1,4105	1,4087	+0,0013	+0,09%	20:24:33
KWD/USD	3,2627	3,2687	3,2666	3,2605	+0,0040	+0,12%	20:26:13
USD/AZN	1,6950	1,7050	1,7107	1,7000	+0,0050	+0,30%	20:24:32
USD/CNH	6,8604	6,8605	6,8626	6,8541	-0,0008	-0,01%	20:25:54
USD/KGS	87,4200	87,4200	87,4200	87,4200	+0,0000	+0,00%	20:26:12
USD/TJS	10,8700	10,9400	10,9400	10,9050	-0,0150	-0,14%	18:00:04
USD/RUB	75,9550	77,9550	77,0450	76,9550	-0,0855	-0,11%	18:19:32
USD/BRL PTAX	5,2642	5,2648	5,2645	5,2441	+0,0201	+0,38%	18:00:04
USD/JPY RTS	117,31	117,31	117,31	117,31	0,00	0,00%	18:00:04
USD/CHF RTS	0,9349	0,9349	0,9349	0,9349	+0,0000	+0,00%	18:00:04
MYR/USD	0,2243	0,2246	0,2246	0,2235	+0,0010	+0,45%	18:00:04
UAH/USD	0,02708	0,02709	0,02722	0,02708	-0,00000	0,00%	18:58:12
HUF/USD	0,002803	0,002809	0,002821	0,002748	+0,000037	+1,35%	20:26:13
IDR/USD	0,00006551	0,00006557	0,00006557	0,00006551	0,00000000	0,00%	20:26:14
USD/AOA	502,500	520,000	511,501	511,250	+8,750	+1,74%	20:24:35
VND/USD	0,00004248	0,00004254	0,00004256	0,00004240	+0,00000011	+0,25%	19:11:16
BYN/USD	0,3951	0,3971	0,3962	0,3961	-0,0001	-0,02%	18:59:38
XBR/USD	75,82	75,86	77,18	74,59	+0,56	+0,74%	18:00:04
THB/USD	0,0292	0,0293	0,0293	0,0289	+0,0002	+0,70%	20:22:36
PHP/USD	0,01837560	0,01838235	0,01843998	0,01827485	-0,00003384	-0,18%	19:17:44
USD/TMT	3,4900	3,5000	3,4950	3,4950	+0,0000	+0,00%	18:56:17
USD/RUB TOM	75,9550	77,9550	77,0450	76,9550	-0,0855	-0,11%	18:19:32
USD/BRLT	5,090	5,410	5,300	5,235	-0,020	-0,38%	16:37:00
USD/MNT	3.514,00	3.545,00	3.529,50	3.529,00	+16,50	+0,47%	18:00:04
USD/AFN	86,5700	86,7700	87,1100	86,6700	+0,1000	+0,12%	18:56:34
AFN/USD	0,0115	0,0116	0,0115	0,0115	0,0000	0,11%	18:56:34
SYP/USD	0,0004	0,0004	0,0004	0,0004	0,0000	0,00%	18:56:21
IRR/USD	0,00002352	0,00002380	0,00002366	0,00002366	-0,00000000	-0,02%	19:08:44
IQD/USD	0,000685	0,000686	0,000686	0,000686	0,000000	0,00%	18:56:22
USD/RUB TOD	76,4225	76,4450	247,0000	48,0000	1.059,5000	-89,18%	18:00:04
USD/NGN I/E	365,00	366,00	365,50	365,50	0,00	0,00%	18:00:04
USD/NGN Parallel	357,00	360,00	358,50	358,50	0,00	0,00%	18:00:04
USD/ZWL	914,267	916,097	915,182	914,955	+1,143	+0,13%	18:00:04
CZK/USD
